,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,796,31,15,78,920,0.9848132271892223,0.10406589096613937,0.9458887189742382
1,$u_{power}$,219,30,17,140,406,0.9801127299797937,0.034160037435657466,0.9784478182397282
2,$u_{baseline}$,245,27,24,143,439,0.9793880152996175,0.03826929084661043,0.9767417218543047
3,$u_{power} + u_{SCF}$,226,26,6,118,376,0.9839606501283148,0.03497369235530796,0.979978700745474
4,$u_{baseline} + u_{SCF}$,245,24,14,112,395,0.9839675074818298,0.03793744193248684,0.9789971819003562
